ABX1,ABX2,pvalue,BH_corrected_pvalue,BH_corrected_pvalue_asterisks,cystic_fibrosis
Amikacin,Cefepime,3.6921143074009066e-4,0.0012922400075903173,**,cf
Amikacin,Ciprofloxacin,0.045824829690910285,0.07402472488531661,,cf
Amikacin,Gentamicin,0,0,***,cf
Amikacin,Meropenem,0.008139780557940846,0.015539581065159796,*,cf
Amikacin,Piperacillin/Tazobactam,0.8375832664209921,0.8375832664209921,,cf
Amikacin,Tobramycin,1.4914398605014867e-9,1.0440079023510407e-8,***,cf
Cefepime,Cefepime,NA,NA,,cf
Cefepime,Ciprofloxacin,0.5765836882961157,0.712250438483437,,cf
Cefepime,Gentamicin,0.004614349136659923,0.009690133186985838,**,cf
Cefepime,Meropenem,1.6020460250842916e-5,6.728593305354025e-5,***,cf
Cefepime,Piperacillin/Tazobactam,8.360083762983805e-4,0.0025080251288951416,**,cf
Cefepime,Tobramycin,0.41192787793015895,0.5406553397833336,,cf
Ciprofloxacin,Cefepime,NA,NA,,cf
Ciprofloxacin,Ciprofloxacin,NA,NA,,cf
Ciprofloxacin,Gentamicin,0.001706205857875176,0.004478790376922337,**,cf
Ciprofloxacin,Meropenem,0.003958763687243572,0.009237115270235002,**,cf
Ciprofloxacin,Piperacillin/Tazobactam,0.07246172025382602,0.10869258038073903,,cf
Ciprofloxacin,Tobramycin,0.6609861691125121,0.7305636605980397,,cf
Gentamicin,Cefepime,NA,NA,,cf
Gentamicin,Ciprofloxacin,NA,NA,,cf
Gentamicin,Gentamicin,NA,NA,,cf
Gentamicin,Meropenem,0.14605966493637856,0.20448353091092997,,cf
Gentamicin,Piperacillin/Tazobactam,0.723624708893686,0.7598059443383703,,cf
Gentamicin,Tobramycin,8.313350008393172e-13,8.72901750881283e-12,***,cf
Meropenem,Cefepime,NA,NA,,cf
Meropenem,Ciprofloxacin,NA,NA,,cf
Meropenem,Gentamicin,NA,NA,,cf
Meropenem,Meropenem,NA,NA,,cf
Meropenem,Piperacillin/Tazobactam,8.196242351488081e-9,4.3030272345312426e-8,***,cf
Meropenem,Tobramycin,0.009677124523933323,0.016934967916883314,*,cf
Piperacillin/Tazobactam,Cefepime,NA,NA,,cf
Piperacillin/Tazobactam,Ciprofloxacin,NA,NA,,cf
Piperacillin/Tazobactam,Gentamicin,NA,NA,,cf
Piperacillin/Tazobactam,Meropenem,NA,NA,,cf
Piperacillin/Tazobactam,Piperacillin/Tazobactam,NA,NA,,cf
Piperacillin/Tazobactam,Tobramycin,0.6258832035983357,0.7301970708647251,,cf
